[2026-07-21 04:31:51] LOGIN | 用户: xjq | 登录成功
[2026-07-21 05:12:04] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 05:12:39] LOGIN | 用户: xjq | 登录成功
[2026-07-21 05:12:39] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:16:28] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 05:16:32] LOGIN | 用户: xjq | 登录成功
[2026-07-21 05:16:32] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:16:54] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:17:14] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:17:36] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:17:55] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:18:15] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:18:36] DATA_SYNC | 用户: xjq | 数据同步更新
[2026-07-21 05:19:19] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 05:19:25] LOGIN | 用户: xjq | 登录成功
[2026-07-21 05:35:30] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 05:36:07] LOGIN | 用户: admin | 登录成功
[2026-07-21 05:36:25] LOGIN | 用户: admin | 登录成功
[2026-07-21 05:36:44] LOGIN | 用户: admin | 登录成功
[2026-07-21 05:36:58] USER_CREATE | 用户: admin | 创建用户: bugtest_3439, 角色: viewer
[2026-07-21 05:42:33] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 05:44:02] USER_UPDATE | 用户: admin | 更新用户: xjq, 字段: []
[2026-07-21 05:45:10] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 05:46:30] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 05:47:17] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 300 秒
[2026-07-21 10:14:03] LOGIN | 用户: testuser | 登录成功
[2026-07-21 13:25:16] AUTO_SYNC | 用户: system | 已启动自动同步，间隔 1800 秒
[2026-07-21 13:26:52] LOGIN | 用户: admin | 登录成功
